year,section,direction,program,type,amount,plusminus
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ПОЧИВНО ДЕЛО","Капиталови разходи",3500000,Разходи
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ФИЗИЧЕСКА КУЛТУРА И СПОРТ","Текущи разходи",56400000,Разходи
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ФИЗИЧЕСКА КУЛТУРА И СПОРТ","Капиталови разходи",22300000,Разходи
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",КУЛТУРА,"Текущи разходи",3281000000,Разходи
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",КУЛТУРА,"Капиталови разходи",500000000,Разходи
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","РЕЛИГИОЗНО ДЕЛО","Текущи разходи",37000000,Разходи
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","РЕЛИГИОЗНО ДЕЛО","Капиталови разходи",15000000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","МИННО ДЕЛО, ГОРИВА И ЕНЕРГИЯ","Текущи разходи",322000000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","МИННО ДЕЛО, ГОРИВА И ЕНЕРГИЯ","Капиталови разходи",70000000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","СЕЛСКО СТОПАНСТВО, ГОРСКО СТОПАНСТВО, ЛОВ И РИБОЛОВ","Текущи разходи",1192400000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","СЕЛСКО СТОПАНСТВО, ГОРСКО СТОПАНСТВО, ЛОВ И РИБОЛОВ","Капиталови разходи",242000000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ТРАНСПОРТ И СЪОБЩЕНИЯ","Текущи разходи",6699000000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ТРАНСПОРТ И СЪОБЩЕНИЯ","Капиталови разходи",1175900000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ПРОМИШЛЕНОСТ И СТРОИТЕЛСТВО","Текущи разходи",34000000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ПРОМИШЛЕНОСТ И СТРОИТЕЛСТВО","Капиталови разходи",0,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",ТУРИЗЪМ,"Текущи разходи",10300000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",ТУРИЗЪМ,"Капиталови разходи",3600000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ДРУГИ ДЕЙНОСТИ ПО ИКОНОМИКАТА","Текущи разходи",2773000000,Разходи
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ","ДРУГИ ДЕЙНОСТИ ПО ИКОНОМИКАТА","Капиталови разходи",1468000000,Разходи
2011,"РАЗХОДИ НЕКЛАСИФИЦИРАНИ В ДРУГИТЕ ФУНКЦИИ","РАЗХОДИ НЕКЛАСИФИЦИРАНИ В ДРУГИТЕ ФУНКЦИИ","Текущи разходи","Текущи разходи",6611000000,Разходи
2011,"РАЗХОДИ НЕКЛАСИФИЦИРАНИ В ДРУГИТЕ ФУНКЦИИ","РАЗХОДИ НЕКЛАСИФИЦИРАНИ В ДРУГИТЕ ФУНКЦИИ",Резерв,Резерв,5274000000,Разходи
